,,K-Means clustering,,,,,,,,,,,,,,,,,Finale cluster Result,
,,,,,,,,,,,,,,,,,,,,
,number,a,b,c,d,e,f,g,h,i,,,K1,K2,Cluster,,,,K1,K2
,1,1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0,0.07,,Single Lingkage Method,6.682230909,1.130562875,2,7.812793784,lowest,,2,1
,2,1.53125,10.73,0,2.1,69.81,0.58,13.3,3.15,0.28,,,13.10591152,17.72183713,1,30.82774864,higest,,8,3
,3,1.523,13.31,3.58,0.82,71.99,0.12,10.17,0,0.03,,,6.824631212,3.278837125,2,,,,16,4
,4,1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0,0,,,7.411294848,1.711857875,2,,,,23,5
,5,1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0,0,,,7.812966061,1.516967125,2,,,,24,6
,6,1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0,0,,,7.151764848,1.252327875,2,,,,29,7
,7,1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0,0.26,,,7.611499697,2.261952875,2,,,,31,9
,8,1.51316,13.02,0,3.04,70.48,6.21,6.96,0,0,,,14.25520879,15.03287788,1,,,,33,10
,9,1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0,0,,,7.501504848,1.570817875,2,,,,42,11
,10,1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0,0,,,7.24072,4.137047125,2,,,,43,12
,11,1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0,0,,,7.153736061,1.228427875,2,,,,45,13
,12,1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0,0.09,,,7.651059697,2.691512875,2,,,,49,14
,13,1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0,,,6.766552727,2.671732125,2,,,,50,15
,14,1.51806,13,3.8,1.08,73.07,0.56,8.38,0,0.12,,,7.699399697,1.738602875,2,,,,58,17
,15,1.51769,12.45,2.71,1.29,73.7,0.56,9.06,0,0.24,,,7.019769697,3.497847875,2,,,,67,18
,16,1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,,,4.862211212,5.581167125,1,,,,70,19
,17,1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0,0.14,,,6.629814545,1.941657875,2,,,,72,20
,18,1.5241,13.83,2.9,1.17,71.15,0.08,10.79,0,0,,,6.805731212,5.411312125,2,,,,79,21
,19,1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0,0.17,,,4.302441212,3.807647125,2,,,,85,22
,20,1.51824,12.87,3.48,1.29,72.95,0.6,8.43,0,0,,,7.140734848,1.210327125,2,,,,97,25
,21,1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0,0,,,6.402776061,1.397282125,2,,,,100,26
,22,1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0,0,,,7.191044848,1.627857875,2,,,,102,27
,23,1.51556,13.87,0,2.54,73.23,0.14,9.41,0.81,0.01,,,2.452505758,7.878852875,1,,,,104,28
,24,1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0,0,,,3.882599394,4.541362125,1,,,,115,30
,25,1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0,,,14.27959242,12.47739788,2,,,,116,32
,26,1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0,0,,,7.433436061,0.920627875,2,,,,120,34
,27,1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0,0,,,7.335196061,2.323637875,2,,,,122,35
,28,1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0,0.11,,,7.112040909,1.100747875,2,,,,127,36
,29,1.52222,14.43,0,1,72.67,0.1,11.52,0,0.08,,,4.367790606,8.382682125,1,,,,134,37
,30,1.52227,14.17,3.81,0.78,71.35,0,9.69,0,0,,,7.74178,4.718107125,2,,,,136,38
,31,1.51969,12.64,0,1.65,73.75,0.38,11.53,0,0,,,4.736472727,8.791402125,1,,,,142,39
,32,1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0,0,,,8.472338182,3.116847125,2,,,,145,40
,33,1.51658,14.8,0,1.99,73.11,0,8.28,1.71,0,,,4.891485758,8.670332875,1,,,,147,41
,34,1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0,0,,,6.752514848,0.933202875,2,,,,148,44
,35,1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0,0,,,8.305187879,4.613572875,2,,,,157,46
,36,1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0,0,,,7.631364848,1.700677875,2,,,,160,47
,37,1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0,0,,,7.134196061,1.229387875,2,,,,165,48
,38,1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0,0,,,7.321864848,1.902427875,2,,,,166,51
,39,1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0,0,,,6.642318182,2.686827125,2,,,,170,52
,40,1.52127,14.32,3.9,0.83,71.5,0,9.49,0,0,,,7.98078,4.557107125,2,,,,172,53
,41,1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0,0.24,,,7.811749697,2.342202875,2,,,,177,54
,42,1.51916,14.15,0,2.09,72.74,0,10.88,0,0,,,2.946245758,8.132497125,1,,,,179,55
,43,1.52777,12.64,0,0.67,72.02,0.06,14.4,0,0,,,8.946673939,11.71335713,1,,,,180,56
,44,1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0,0.1,,,6.882880909,0.651212875,2,,,,182,57
,45,1.52043,13.38,0,1.4,72.25,0.33,12.5,0,0,,,5.069333939,8.158892125,1,,,,183,59
,46,1.51708,13.72,3.68,1.81,72.06,0.64,7.88,0,0,,,7.354016061,2.629207875,2,,,,186,60
,47,1.51131,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0,,,9.745240606,6.976102875,2,,,,187,61
,48,1.5186,13.36,3.43,1.43,72.26,0.51,8.6,0,0,,,6.792496061,0.667562125,2,,,,193,62
,49,1.5164,14.37,0,2.74,72.85,0,9.45,0.54,0,,,2.808332424,8.118012875,1,,,,195,63
,50,1.51727,14.7,0,2.34,73.28,0,8.95,0.66,0,,,3.590795758,8.097142875,1,,,,197,64
,51,1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0,0,,,7.623044848,2.103607875,2,,,,202,65
,52,1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0,0.1,,,7.671290909,1.285127125,2,,,,206,66
,53,1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0,0,,,6.613336061,1.427402875,2,,,,214,68
,54,1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0,0.24,,,6.550859697,1.588937875,2,,,,,69
,55,1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0,0.19,,,7.119761515,1.972907875,2,,,,,71
,56,1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0,0,,,6.705426061,0.463992875,2,,,,,73
,57,1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0,0,,,5.552726061,1.719332125,2,,,,,74
,58,1.51651,14.38,0,1.94,73.61,0,8.48,1.57,0,,,4.581555758,8.360402875,1,,,,,75
,59,1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0,0,,,7.393044848,1.704982875,2,,,,,76
,60,1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0,,,11.81635242,8.854717125,2,,,,,77
,61,1.51627,13,3.58,1.54,72.83,0.61,8.04,0,0,,,7.284826061,1.663267875,2,,,,,78
,62,1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0,0,,,6.924996061,0.635062875,2,,,,,80
,63,1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0,,,5.860864848,1.735197125,2,,,,,81
,64,1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0,0,,,7.361544848,1.430857875,2,,,,,82
,65,1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0,0.24,,,7.921569697,2.183397875,2,,,,,83
,66,1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0,0,,,7.013861212,3.456442125,2,,,,,84
,67,1.51666,12.86,0,1.83,73.88,0.97,10.17,0,0,,,3.679890606,7.871752875,1,,,,,86
,68,1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0,0.21,,,7.380829697,2.031282875,2,,,,,87
,69,1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,,,6.75915303,1.963302125,2,,,,,88
,70,1.51508,15.15,0,2.25,73.5,0,8.34,0.63,0,,,4.752985758,8.531832875,1,,,,,89
,71,1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0,0.16,,,6.590890909,0.928027125,2,,,,,90
,72,1.51609,15.01,0,2.51,73.05,0.05,8.83,0.53,0,,,3.896521212,8.048322875,1,,,,,91
,73,1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0,0.2,,,6.967441515,4.257037125,2,,,,,92
,74,1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,,,7.181070909,1.153847125,2,,,,,93
,75,1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0,0.28,,,7.881690909,1.303897875,2,,,,,94
,76,1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0,0.09,,,5.479679697,1.677757875,2,,,,,95
,77,1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0,0,,,6.844996061,0.835187875,2,,,,,96
,78,1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0,0,,,6.95862,2.334947125,2,,,,,98
,79,1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0,0,,,6.954226061,1.232667875,1,,,,,99
,80,1.51852,14.09,2.19,1.66,72.67,0,9.32,0,0,,,4.208939697,3.821857125,2,,,,,101
,81,1.5221,13.73,3.84,0.72,71.76,0.17,9.74,0,0,,,7.033428182,3.837937125,2,,,,,103
,82,1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0,0,,,6.883256061,0.870447875,2,,,,,105
,83,1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0,0.16,,,7.123316061,4.367412125,2,,,,,106
,84,1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0,0,,,5.843796061,3.241112875,2,,,,,107
,85,1.51617,14.95,0,2.27,73.3,0,8.71,0.67,0,,,4.041895758,8.068242875,1,,,,,108
,86,1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0,0.09,,,7.143640909,1.591972875,2,,,,,109
,87,1.51966,14.77,3.75,0.29,72.02,0.03,9,0,0,,,8.75917,4.355497125,2,,,,,110
,88,1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0,,,9.048614545,8.185737125,2,,,,,111
,89,1.51926,13.2,3.33,1.28,72.36,0.6,9.14,0,0.11,,,6.470891212,1.253722125,2,,,,,112
,90,1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0,0,,,6.434546061,0.452237875,2,,,,,113
,91,1.51847,13.1,3.97,1.19,72.44,0.6,8.43,0,0,,,7.912626061,1.365682125,2,,,,,114
,92,1.51779,13.64,3.65,0.65,73,0.06,8.93,0,0,,,6.879366667,2.499122875,2,,,,,117
,93,1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0,0,,,6.754846061,1.024412875,2,,,,,118
,94,1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0,0.17,,,6.872930909,1.197762875,2,,,,,119
,95,1.51755,12.71,3.42,1.2,73.2,0.59,8.64,0,0,,,7.361424848,1.609612875,2,,,,,121
,96,1.51743,12.2,3.25,1.16,73.55,0.62,8.9,0,0.24,,,8.010029697,3.088107875,2,,,,,123
,97,1.52247,14.86,2.2,2.06,70.26,0.76,9.76,0,0,,,7.003798182,7.441432125,1,,,,,124
,98,1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0,0,,,7.341434848,1.762372875,2,,,,,125
,99,1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0,0.3,,,7.229599697,1.667677875,2,,,,,126
,100,1.51623,14.2,0,2.79,73.46,0.04,9.04,0.4,0.09,,,3.704866061,7.986557875,1,,,,,128
,101,1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0,,,6.680418182,1.771552125,2,,,,,129
,102,1.52475,11.45,0,1.88,72.19,0.81,13.24,0,0.34,,,8.03395697,11.58046213,1,,,,,130
,103,1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0,0,,,7.341344848,1.410657875,2,,,,,131
,104,1.51645,14.94,0,1.87,73.11,0,8.67,1.38,0,,,4.191615758,8.137962875,1,,,,,132
,105,1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0,0,,,7.164636061,1.263452875,2,,,,,133
,106,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0,0,,,7.69164,4.427967125,2,,,,,135
,107,1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0,0.12,,,9.010204545,4.598422875,2,,,,,137
,108,1.51618,13.01,3.5,1.48,72.89,0.6,8.12,0,0,,,7.104916061,1.483357875,2,,,,,138
,109,1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0,0.15,,,7.271170909,1.781497125,2,,,,,139
,110,1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0,0.1,,,7.164664848,4.370882125,2,,,,,140
,111,1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0,0,,,6.593306061,0.550622875,2,,,,,141
,112,1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0,0,,,7.011004848,1.339067875,2,,,,,143
,113,1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,,,6.430909697,2.455112875,2,,,,,144
,114,1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0,0,,,6.731587879,1.449222875,2,,,,,146
,115,1.51685,14.92,0,1.99,73.06,0,8.4,1.59,0,,,4.721215758,8.500062875,1,,,,,149
,116,1.51711,14.23,0,2.08,73.36,0,8.62,1.67,0,,,4.280955758,8.127302875,1,,,,,150
,117,1.51905,13.6,3.62,1.11,72.64,0.14,8.76,0,0,,,6.680378182,1.359762125,2,,,,,151
,118,1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0,0,,,7.603074848,2.063637875,2,,,,,152
,119,1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0,0,,,8.012234848,2.532797875,2,,,,,153
,120,1.51969,14.56,0,0.56,73.48,0,11.22,0,0,,,5.094654545,9.601777125,1,,,,,154
,121,1.51872,12.93,3.66,1.56,72.51,0.58,8.55,0,0.12,,,7.220860909,1.135557125,2,,,,,155
,122,1.52664,11.23,0,0.77,73.21,0,14.68,0,0,,,10.02342273,13.40710213,1,,,,,156
,123,1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0,0.17,,,6.86133303,3.004107125,2,,,,,158
,124,1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0,0,,,6.693896061,0.812712875,2,,,,,159
,125,1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0,0.35,,,7.711190909,1.321477125,2,,,,,161
,126,1.51605,12.9,3.44,1.45,73.06,0.44,8.27,0,0,,,7.022924848,1.514362875,2,,,,,162
,127,1.52614,13.7,0,1.36,71.24,0.19,13.44,0,0.1,,,6.893528788,10.51297713,1,,,,,163
,128,1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0,0,,,6.821667879,1.803052875,2,,,,,164
,129,1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0,0,,,7.552234848,2.272797875,2,,,,,167
,130,1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0,0,,,7.392986061,1.271822125,2,,,,,168
,131,1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0,0,,,7.542684848,2.214622875,2,,,,,169
,132,1.51596,13.02,3.56,1.54,73.11,0.72,7.9,0,0,,,7.633014848,2.153577875,2,,,,,171
,133,1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0,0,,,7.374646061,1.549837875,2,,,,,173
,134,1.51514,14.85,0,2.42,73.72,0,8.39,0.56,0,,,4.777471212,8.501772875,1,,,,,174
,135,1.51937,13.79,2.41,1.19,72.76,0,9.77,0,0,,,4.210698182,3.621457125,2,,,,,175
,136,1.51531,14.38,0,2.66,73.1,0.04,9.08,0.64,0,,,3.222755758,7.989102875,1,,,,,176
,137,1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,,,3.962311212,3.722892125,2,,,,,178
,138,1.51707,13.48,3.48,1.71,72.52,0.62,7.99,0,0,,,6.904026061,1.499217875,2,,,,,181
,139,1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0,0,,,6.883166061,0.621607875,2,,,,,184
,140,1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0,0.37,,,8.190104848,4.036322125,2,,,,,185
,141,1.51764,12.98,3.54,1.21,73,0.65,8.53,0,0,,,7.171334848,1.240647875,2,,,,,188
,142,1.51545,14.14,0,2.68,73.39,0.08,9.07,0.61,0.05,,,3.191100606,7.928962875,1,,,,,189
,143,1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0,0,,,7.664666061,1.783107875,2,,,,,190
,144,1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0,0.1,,,7.023130909,1.163087875,2,,,,,191
,145,1.52739,11.02,0,0.75,73.08,0,14.96,0,0,,,10.40417273,13.78785213,1,,,,,192
,146,1.51829,14.46,2.24,1.62,72.38,0,9.26,0,0,,,5.019169697,4.176752125,2,,,,,194
,147,1.51818,13.72,0,0.56,74.45,0,10.99,0,0,,,5.286552424,9.500267125,1,,,,,196
,148,1.51888,14.99,0.78,1.74,72.5,0,9.95,0,0,,,3.158579697,6.857342125,1,,,,,198
,149,1.51592,12.86,3.52,2.12,72.66,0.69,7.97,0,0,,,7.715176061,2.303617875,2,,,,,199
,150,1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,,,7.480839697,1.786167875,2,,,,,200
,151,1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0,0,,,9.028881212,7.074462125,2,,,,,201
,152,1.51844,13.25,3.76,1.32,72.4,0.58,8.42,0,0,,,7.452656061,0.916902125,2,,,,,203
,153,1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0,0,,,5.433016061,1.690707875,2,,,,,204
,154,1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0,0,,,6.566296364,1.010862125,2,,,,,205
,155,1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0,0,,,7.274576061,1.549767875,2,,,,,207
,156,1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0,0,,,7.014786061,1.604852875,2,,,,,208
,157,1.52369,13.44,0,1.58,72.22,0.32,12.24,0,0,,,4.612593939,8.182152125,1,,,,,209
,158,1.518,13.71,3.93,1.54,71.81,0.54,8.21,0,0.15,,,7.761580909,2.446662875,2,,,,,210
,159,1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,,,7.159709697,1.273787875,2,,,,,211
,160,1.51602,14.85,0,2.38,73.28,0,8.76,0.64,0.09,,,3.950530606,8.046767875,1,,,,,212
,161,1.51892,13.46,3.83,1.26,72.55,0.57,8.21,0,0.14,,,7.470660909,1.206132125,2,,,,,213
,162,1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0,0,,,6.602084848,2.614022875,2,,,,,
,163,1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0,0.31,,,7.535309697,1.574512875,2,,,,,
,164,1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0,0,,,7.161464848,1.309527875,2,,,,,
,165,1.51683,14.56,0,1.98,73.29,0,8.52,1.57,0.07,,,4.419720606,8.168457875,1,,,,,
,166,1.51719,14.75,0,2,73.02,0,8.53,1.59,0.08,,,4.379360606,8.128097875,1,,,,,
,167,1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0,0.07,,,6.85153303,2.865932125,2,,,,,
,168,1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0,0,,,6.642126364,1.506692125,2,,,,,
,169,1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0,0,,,7.371554848,1.440867875,2,,,,,
,170,1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0,0,,,6.315159394,6.803422125,1,,,,,
,171,1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0,0.09,,,6.551620909,1.635577875,2,,,,,
,172,1.51732,14.95,0,1.8,72.99,0,8.61,1.55,0,,,4.270745758,8.067092875,1,,,,,
,173,1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0,0,,,6.810976667,1.974482875,2,,,,,
,174,1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0,0.17,,,6.76133303,2.904107125,2,,,,,
,175,1.51755,13,3.6,1.36,72.99,0.57,8.4,0,0.11,,,7.119909697,1.250362875,2,,,,,
,176,1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0,0.17,,,7.579979697,1.619182875,2,,,,,
,177,1.51613,13.88,1.78,1.79,73.1,0,8.67,0.76,0,,,3.66466303,4.588282875,1,,,,,
,178,1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0,0,,,7.741344848,1.810657875,2,,,,,
,179,1.53393,12.3,0,1,70.16,0.12,16.19,0,0.24,,,12.70131879,15.43789213,1,,,,,
,180,1.52177,13.75,1.01,1.36,72.19,0.33,11.14,0,0,,,3.863401212,6.180232125,1,,,,,
,181,1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0,0.29,,,7.602850909,1.456307875,2,,,,,
,182,1.51831,14.39,0,1.82,72.86,1.41,6.47,2.88,0,,,7.723695152,11.22952213,1,,,,,
,183,1.5202,13.98,1.35,1.63,71.76,0.39,10.56,0,0.18,,,3.808497879,6.187037125,1,,,,,
,184,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0,0,,,7.69164,4.427967125,2,,,,,
,185,1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0,0,,,7.681414848,1.750727875,2,,,,,
,186,1.51115,17.38,0,0.34,75.41,0,6.65,0,0,,,12.17146121,13.87963788,1,,,,,
,187,1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0,0.28,,,4.109184848,7.781277125,1,,,,,
,188,1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0,0,,,6.631256667,1.434512875,2,,,,,
,189,1.519,13.49,3.48,1.35,71.95,0.55,9,0,0,,,6.742146364,1.466587125,2,,,,,
,190,1.51667,12.94,3.61,1.26,72.75,0.56,8.6,0,0,,,7.124426061,0.919117875,2,,,,,
,191,1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0,0,,,6.981144848,1.429207875,2,,,,,
,192,1.51846,13.41,3.89,1.33,72.38,0.51,8.28,0,0,,,7.502636061,1.198547125,2,,,,,
,193,1.51623,14.14,0,2.88,72.61,0.08,9.18,1.06,0,,,3.57395697,7.958182875,1,,,,,
,194,1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0,0,,,7.131466667,1.703347875,2,,,,,
,195,1.52065,14.36,0,2.02,73.42,0,8.44,1.64,0,,,4.560766061,8.341362125,1,,,,,
,196,1.51905,14,2.39,1.56,72.37,0,9.57,0,0,,,4.46856,3.827512125,2,,,,,
,197,1.51994,13.27,0,1.76,73.03,0.47,11.32,0,0,,,3.108540909,7.251652125,1,,,,,
,198,1.52172,13.51,3.86,0.88,71.79,0.23,9.54,0,0.11,,,7.24153303,3.175932125,2,,,,,
,199,1.51753,12.57,3.47,1.38,73.39,0.6,8.55,0,0.06,,,7.629929697,1.802007875,2,,,,,
,200,1.52177,13.2,3.68,1.15,72.75,0.54,8.52,0,0,,,7.104916364,0.873857125,2,,,,,
,201,1.51299,14.4,1.74,1.54,74.55,0,7.59,0,0,,,7.342348485,6.609047875,2,,,,,
,202,1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0,0,,,7.492838182,8.343722125,1,,,,,
,203,1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0,0.19,,,7.112080909,1.200412875,2,,,,,
,204,1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0,0.14,,,7.359779697,1.606482875,2,,,,,
,205,1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0,0,,,7.200508182,1.889267125,2,,,,,
,206,1.51653,11.95,0,1.19,75.18,2.7,8.93,0,0,,,9.099717576,10.18063288,1,,,,,
,207,1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0,0,,,8.24147,4.137797125,2,,,,,
,208,1.51709,13,3.47,1.79,72.72,0.66,8.18,0,0,,,6.944006061,1.602447875,2,,,,,
,209,1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0,0,,,7.124156061,1.018847875,2,,,,,
,210,1.52152,13.12,3.58,0.9,72.2,0.23,9.82,0,0.16,,,6.69133303,2.774107125,2,,,,,
,211,1.51848,13.64,3.87,1.27,71.96,0.54,8.32,0,0.32,,,7.951100909,2.045692125,2,,,,,
,212,1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0,0,,,7.551134848,1.847947875,2,,,,,
,213,1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0,0.22,,,7.731170909,1.901497125,2,,,,,
,214,1.51321,13,0,3.02,70.7,6.21,6.93,0,0,,,14.06515879,14.84282788,1,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
100,Center 1,1.518974848,13.86590909,0.293636364,1.815,72.90106061,0.404090909,9.984848485,0.587272727,0.045757576,,,,,,,,,,
